3,sextant
3,prettyprint
12,pp
2,coderay
3,ipaddr
1,debug_inspector.so
6,debug_inspector
13,binding_of_caller
63,better_errors
1,quiet_assets
1,meta_request
3,method_source
51,slop
3,readline
1,ruby_debug.so
1,tracelines19
9,linecache19
23,ruby-debug-base
1,columnize
1,e2mmap
86,irb
212,ruby-debug
218,debugger
462,pry
470,pry-rails
3,pry-debugger
11,coolline
82,pry-coolline
6,pry-stack_explorer
1,rspec-rails
1,find
19,listen
2,terminal-notifier-guard
11,launchy
21,letter_opener
1,English
8,hodel_3000_compliant_logger
18,oink
30,chronic
1,flux_capacitor
91,delorean
6,sprockets
83,tzinfo
1,hike
2,callsite
1,rdoc
2,bcrypt_ext
14,bcrypt
7,csv
13,optparse
92,active_support
2,action_pack
23,i18n
51,active_model
3,rack
229,action_dispatch
4,logger
3,psych.so
83,psych
2,yaml
1,base64
335,rails
3,bigdecimal
188,arel
367,active_record
149,abstract_controller
7,erb
66,action_view
308,action_controller
40,action_mailer
10,active_resource
23,pg_ext
30,pg
220,optparse
1016,active_support
18,action_pack
112,i18n
487,active_model
29,rack
2153,action_dispatch
57,logger
27,psych.so
662,psych
3,yaml
1,base64
2975,rails
58,bigdecimal
1468,arel
3647,active_record
1867,abstract_controller
71,erb
753,action_view
3759,action_controller
327,action_mailer
164,active_resource
105,pg_ext
157,pg
273,optparse
1570,active_support
30,action_pack
165,i18n
749,active_model
28,rack
3327,action_dispatch
61,logger
29,psych.so
592,psych
3,yaml
11,base64
2711,rails
44,bigdecimal
1304,arel
3528,active_record
1832,abstract_controller
89,erb
687,action_view
3582,action_controller
468,action_mailer
243,active_resource
169,pg_ext
259,pg
6,optparse
15,active_support
2,action_pack
19,i18n
28,active_model
2,rack
61,action_dispatch
2,logger
2,psych.so
59,psych
2,yaml
1,base64
165,rails
2,bigdecimal
84,arel
146,active_record
51,abstract_controller
5,erb
15,action_view
87,action_controller
12,action_mailer
4,active_resource
5,pg_ext
11,pg
1174,haml
1178,haml-rails
3,jquery-rails
2,jquery-ui-rails
208,sass
4,sass-rails
220,bootstrap-sass
2,bootbox-rails
2,select2-rails
21,ostruct
57,json
3,orm_adapter
46,warden
73,journey
3,delegate
2,tmpdir
15,tempfile
274,devise
1,multi_json
129,simple_form
42,erubis
23,singleton
205,responders
214,inherited_resources
1,subexec
1,shellwords
25,mini_magick
2,carrierwave
299,acts-as-taggable-on
3,pg_search
29,whenever
3,acts_as_list
2,default_value_for
30,zentest_mapping
38,inline
57,fuzzystringmatch
62,state_machine
3,figaro
469,backports
1,descendants_tracker
541,virtus
2,request_store
68,draper
8,naught
5,open-uri
175,css_parser
7,htmlentities
205,premailer
135,nokogiri
111,load_parsers
1091,mail
16,delayed_job
19,delayed_job_active_record
24,tilt
154,delayed_job_web
47,builder
71,airbrake
77,delayed-plugins-airbrake
16,daemons
52,analytical
63,metric_parser
68,conditional_vendored_metric_parser
4,dependency_detection
9,conditional_vendored_dependency_detection
311,newrelic_rpm
12,intercom-rails
54,intercom
4,ace-rails-ap
1,active_utils
176,active_merchant
181,activemerchant
3,encryptor
11,attr_encryptor
240,iso4217
2586,iso3166
2,country_select
6,biggs
6,charlock_holmes
2,currency_data
9,easy_money
7,oj
72,rabl
75,apipie-rails
20,strong_parameters
1,weakref
5,ref
91,v8
109,execjs
115,coffee_script
120,coffee-script
137,coffee-rails
1,uglifier
75,chunky_png
313,compass
328,compass-rails
125,webrick
1,abbrev
43,highline
454,capistrano
2,parallel
8,parallel_tests
6,sextant
2,prettyprint
11,pp
2,coderay
3,ipaddr
1,debug_inspector.so
6,debug_inspector
12,binding_of_caller
61,better_errors
56,quiet_assets
2,meta_request
3,method_source
5,slop
3,readline
1,ruby_debug.so
1,tracelines19
70,linecache19
82,ruby-debug-base
1,columnize
1,e2mmap
106,irb
316,ruby-debug
322,debugger
637,pry
707,pry-rails
4,pry-debugger
11,coolline
301,pry-coolline
5,pry-stack_explorer
1,rspec-rails
1,find
19,listen
2,terminal-notifier-guard
73,launchy
82,letter_opener
1,English
7,hodel_3000_compliant_logger
20,oink
96,chronic
1,flux_capacitor
108,delorean
10,sprockets
92,tzinfo
1,hike
2,callsite
2,rdoc
2,bcrypt_ext
16,bcrypt
11,csv
6,optparse
14,active_support
2,action_pack
19,i18n
